, CC_area, CC_perimeter, CC_circularity, CC_length, W1, W2, W3, W4, W5, W6, W7,volume
0,674.75,216.77,0.180444,76.5,28.25,135.25,95.5,83.5,74.75,58.25,199.25,1654001.75
1,620.5,196.34,0.202275,73.0,11.5,124.75,112.5,85.25,60.75,51.75,174.0,1566818.75
2,617.0,203.15,0.18788,74.0,22.75,160.25,92.5,71.0,60.75,43.5,166.25,1603843.625
3,524.5,191.32,0.180072,67.5,18.25,79.25,95.25,65.0,53.75,52.0,161.0,1434097.75
4,655.25,206.12,0.19381700000000002,77.0,15.0,141.0,103.25,88.5,69.75,52.5,185.25,1520944.5
5,812.0,224.21,0.202984,78.0,28.0,186.25,109.0,96.25,79.0,87.75,225.75,1878676.5
6,600.0,202.51,0.183852,72.0,21.5,127.5,88.25,65.5,60.0,57.5,179.75,1552326.875
7,707.0,263.33,0.128124,87.0,21.5,110.0,124.5,85.25,66.25,52.0,247.5,1702404.625
8,408.5,159.76,0.201122,59.0,4.75,75.0,76.5,53.5,48.25,30.25,120.25,1117105.25
9,626.75,230.6,0.148108,76.0,39.5,107.5,125.0,63.0,62.75,55.0,174.0,1827121.375
10,607.75,199.56,0.191773,72.0,17.75,123.25,97.0,73.0,50.25,51.0,195.5,1521745.625
11,642.75,188.8,0.22658699999999998,68.5,18.0,150.5,96.75,74.75,60.0,68.5,174.25,1404068.25
12,658.0,207.87,0.191354,71.0,25.75,140.25,103.75,75.5,65.75,59.0,188.0,1514961.125
13,631.25,201.27,0.195824,68.0,26.5,139.5,104.25,66.75,61.75,47.75,184.75,1522483.0
14,598.25,187.61,0.213589,70.5,13.0,166.0,67.25,76.0,61.25,50.75,164.0,1855017.75
15,792.75,225.43,0.19602999999999998,79.0,42.5,184.0,118.5,95.5,88.5,68.0,195.75,1696301.625
16,789.5,230.82,0.18621,82.0,43.0,170.0,119.0,91.5,83.75,64.75,217.5,1847895.875
17,706.5,227.22,0.171965,83.5,32.75,129.75,121.5,87.25,74.75,64.25,196.25,1523562.25
18,521.25,184.97,0.19144,66.0,17.5,121.0,68.25,67.0,59.5,42.25,145.75,1612137.75
19,678.75,198.92,0.215549,72.0,9.25,148.5,117.0,73.75,68.5,73.75,188.0,1590061.375
20,752.5,225.58,0.185828,78.0,42.5,149.5,117.5,82.5,84.0,65.25,211.25,1579025.5
21,564.5,193.56,0.18934,70.5,18.0,111.5,80.75,74.25,54.0,49.5,176.5,1366933.25
22,527.5,191.12,0.181483,66.5,1.5,75.0,143.25,64.0,59.75,51.25,132.75,1666984.125
23,577.0,180.9,0.221561,67.0,8.25,122.0,79.0,71.0,53.25,62.75,180.75,1254195.875
24,740.75,230.55,0.175124,76.5,47.0,131.5,124.0,92.75,75.75,49.5,220.25,1687374.75
25,594.0,205.22,0.177243,67.5,37.0,121.5,100.0,57.5,61.5,45.5,171.0,1681635.875
26,630.0,203.44,0.19128599999999998,77.0,18.25,135.25,85.25,75.75,65.25,58.0,192.25,1631620.5
27,599.75,206.44,0.176847,75.5,21.5,117.0,114.0,76.25,53.25,47.25,170.5,1629995.125
28,705.25,215.12,0.19151600000000002,75.5,29.25,155.5,109.25,91.5,71.75,46.5,201.5,1667673.875
29,603.5,186.75,0.217448,67.5,17.75,156.0,92.25,71.75,65.75,49.75,150.25,1454841.875
30,535.75,175.56,0.21843400000000002,62.0,23.5,89.25,106.5,70.75,63.25,50.5,132.0,1481356.25
31,672.75,215.74,0.18162999999999999,75.5,23.0,142.75,110.25,78.25,76.25,72.25,170.0,1542765.75
32,648.5,202.22,0.19929000000000002,74.5,14.75,172.5,86.75,75.75,64.75,60.5,173.5,1427721.25
33,607.25,188.88,0.213892,72.0,8.25,142.5,92.0,67.75,59.0,52.25,185.5,1615338.625
34,636.5,185.68,0.23199099999999998,66.5,150.25,50.0,75.0,78.75,57.0,54.0,171.5,1375382.5
35,664.0,205.36,0.197857,74.0,19.75,148.0,84.0,82.25,76.75,66.25,187.0,1529574.75
36,679.25,213.92,0.18651800000000002,78.5,21.25,160.25,112.75,83.5,62.5,56.75,182.25,1503712.0
37,945.0,235.79,0.213588,80.5,30.0,185.25,159.75,113.75,96.0,105.5,254.75,1721632.25
38,456.5,177.44,0.182202,64.5,19.0,102.5,68.25,50.75,44.5,39.75,131.75,1463249.5
39,606.75,187.34,0.217254,66.5,19.0,124.5,83.75,80.5,66.75,53.25,179.0,1471221.25
40,713.5,202.63,0.218369,72.5,20.0,162.0,100.0,87.75,70.75,66.5,206.5,1641982.875
41,810.25,220.6,0.20922399999999997,78.0,25.5,169.5,118.25,92.0,79.5,70.25,255.25,1797405.125
42,554.75,189.73,0.193655,73.5,8.0,126.5,67.75,65.5,57.0,56.5,173.5,1360138.25
43,822.75,221.77,0.210213,77.5,30.5,142.25,147.75,101.75,85.0,69.5,246.0,1662029.0
44,615.0,188.39,0.217759,69.5,9.5,122.75,99.75,85.25,70.75,53.0,174.0,1429814.0
45,495.25,172.37,0.209471,63.5,14.75,129.5,56.25,50.5,47.75,50.75,145.75,1299184.375
46,541.0,179.51,0.210975,66.0,10.0,109.0,71.5,69.0,63.75,59.0,158.75,1796555.25
47,701.0,207.8,0.203998,73.5,21.5,157.0,99.75,84.0,79.75,64.5,194.5,1671153.0
48,776.5,227.45,0.188615,75.0,29.0,148.75,140.5,98.5,83.5,63.0,213.25,1522905.0
49,483.5,184.68,0.17814000000000002,69.0,10.0,115.5,69.5,64.0,47.0,36.25,141.25,1365416.75
50,507.5,196.75,0.164743,71.0,10.0,97.0,89.0,64.5,57.5,41.5,148.0,1491345.25
51,607.5,199.63,0.191558,74.0,15.25,107.0,102.25,84.25,67.25,48.75,182.75,1395821.875
52,484.5,172.49,0.20463599999999998,63.5,12.0,121.75,79.25,56.75,45.25,37.0,132.5,1318101.5
53,458.25,186.17,0.166153,74.5,17.75,99.0,60.5,59.25,42.5,46.25,133.0,1276875.0
54,592.25,185.27,0.216829,72.0,6.0,136.75,87.0,75.0,67.0,51.0,169.5,1624504.5
55,696.25,211.92,0.19481199999999999,77.5,20.0,162.25,93.75,84.5,82.25,60.0,193.5,1541054.625
56,650.75,203.15,0.198157,72.5,20.0,147.25,104.25,68.25,59.25,48.25,203.5,1761533.625
57,429.0,188.92,0.15104,69.0,18.5,88.25,70.75,50.25,38.25,29.0,134.0,1481766.0
58,537.75,188.56,0.19005999999999998,65.0,24.0,109.75,88.75,62.0,54.25,37.0,162.0,1436609.0
59,874.0,250.4,0.17516600000000002,90.5,19.0,174.25,125.5,112.0,89.0,86.75,267.5,1690677.0
60,536.0,178.51,0.21137399999999998,66.0,14.0,133.75,70.25,66.0,50.75,56.25,145.0,1373966.0
61,529.5,208.48,0.15309,72.0,32.75,92.5,63.75,56.75,62.5,48.75,172.5,1465347.0
62,677.0,212.34,0.188687,77.0,13.75,153.75,86.75,80.0,70.5,53.5,218.75,1699689.0
63,516.0,190.25,0.179154,74.0,6.25,101.25,101.75,65.5,48.0,40.0,153.25,1452951.0
64,485.75,167.15,0.21849000000000002,57.5,13.0,108.25,57.75,58.5,57.75,36.5,154.0,1356097.0
65,724.25,213.17,0.20029,77.0,16.5,178.25,102.0,81.75,63.0,59.75,223.0,1391043.0
66,663.25,195.92,0.217126,71.0,18.25,154.25,65.5,91.25,66.5,67.0,200.5,1497882.0
67,715.25,210.05,0.203724,74.0,21.5,185.75,94.75,72.25,57.0,48.0,236.0,1392380.0
68,533.25,193.02,0.179852,73.0,9.0,104.75,51.5,51.75,51.75,59.75,204.75,1275927.0
69,547.5,212.87,0.151827,75.0,23.75,102.25,87.25,71.5,57.0,33.75,172.0,1426416.0
70,523.25,205.17,0.156209,72.5,23.25,104.5,74.0,62.25,50.5,40.25,168.5,1260883.0
71,543.0,189.22,0.19058599999999998,67.5,18.75,124.5,59.25,58.25,52.25,49.5,180.5,1498115.0
72,681.0,196.1,0.22254699999999997,67.5,118.5,80.25,60.25,78.75,70.5,68.75,204.0,1540308.0
73,653.25,191.92,0.222859,67.0,19.25,130.25,101.0,61.75,66.0,71.0,204.0,1360956.0
74,553.5,196.97,0.17927,73.5,20.0,93.0,91.25,63.0,56.75,57.0,172.5,1340026.0
75,720.75,229.43,0.172065,79.5,43.0,162.0,108.0,77.5,63.75,62.0,204.5,1697544.0
76,642.5,203.22,0.195508,74.0,19.75,148.75,83.25,75.5,71.25,59.25,184.75,1448375.375
77,775.75,233.72,0.178455,79.0,31.5,187.0,104.75,77.75,64.0,68.75,242.0,1581502.0
78,625.5,203.82,0.189203,73.0,15.5,145.0,78.75,63.5,62.75,65.75,194.25,1402761.0
79,757.75,209.22,0.217542,75.5,27.75,156.25,113.25,90.75,89.75,81.75,198.25,1363493.0
80,496.5,190.07,0.17269500000000002,69.0,91.75,4.5,83.75,44.5,45.75,45.5,180.75,1369480.0
81,516.5,189.68,0.180398,68.5,19.25,84.75,84.5,57.5,53.0,62.0,155.5,1375353.0
82,714.75,206.94,0.209727,72.5,21.0,166.5,105.75,79.5,65.0,69.25,207.75,1408517.0
83,482.5,177.68,0.192054,62.0,18.25,79.0,93.75,63.5,49.5,39.75,138.75,1200643.0
84,529.25,215.58,0.143104,71.5,24.5,74.75,82.0,52.0,41.75,39.0,215.25,1522861.0
85,679.25,214.53,0.18546500000000002,73.5,32.25,133.5,110.5,75.0,71.0,60.0,197.0,1732325.0
86,667.75,206.58,0.196627,71.0,27.0,127.5,128.25,81.0,67.25,60.5,176.25,1893892.0
87,776.75,225.17,0.192523,80.0,4.0,168.0,140.0,94.25,80.25,61.5,228.75,1456592.0
88,609.5,189.15,0.214087,66.0,20.5,135.0,72.25,67.5,60.25,58.75,195.25,1451492.0
89,679.75,204.22,0.20482199999999998,75.0,12.75,60.75,200.25,72.25,60.5,67.25,206.0,1635238.0
90,926.0,238.28,0.20495,81.5,28.0,223.25,160.75,90.75,87.75,84.25,251.25,1677492.0
91,690.25,224.48,0.172131,77.5,42.0,157.75,105.0,74.25,62.5,54.5,194.25,1690069.0
92,676.25,206.36,0.199559,72.5,10.75,165.25,90.75,74.75,68.25,51.75,214.75,1656043.375
93,532.0,185.32,0.194666,69.0,15.0,110.5,92.25,66.25,48.75,42.5,156.75,1645991.625
94,607.75,187.07,0.218225,67.0,25.5,142.75,93.5,61.75,52.0,54.0,178.25,1705609.375
95,547.5,191.34,0.18792799999999998,69.5,15.25,132.5,75.5,66.25,57.75,39.25,161.0,1447733.125
96,579.25,209.53,0.165799,73.0,31.5,116.25,90.25,68.5,59.5,50.25,163.0,1682940.625
97,605.25,198.58,0.19287200000000002,69.0,21.5,117.5,113.5,74.5,59.25,51.0,168.0,1597865.5
98,510.25,197.48,0.164416,68.0,26.75,103.5,85.25,63.25,50.25,45.25,136.0,1689376.75
99,799.75,213.28,0.22093600000000002,71.5,17.0,203.5,125.5,91.5,79.0,88.0,195.25,1628180.375
100,667.25,198.97,0.21179,69.5,17.5,150.5,94.0,71.75,66.75,58.75,208.0,1403670.375
101,459.75,174.02,0.19077,64.0,5.0,91.75,75.25,50.75,46.75,40.75,149.5,1498847.875
102,471.25,171.42,0.201534,56.0,23.0,122.25,62.25,44.25,47.0,38.75,133.75,1374442.375
103,601.75,213.53,0.165846,74.0,29.75,111.25,93.0,65.5,63.0,49.5,189.75,1807450.75
104,623.75,199.44,0.197061,74.5,14.75,136.0,91.75,69.75,63.0,52.25,196.25,1627500.625
105,598.0,224.0,0.149773,78.5,31.5,95.5,104.0,66.25,44.25,49.25,207.25,1596760.0
106,524.5,184.1,0.194477,65.5,15.75,127.75,78.5,61.0,47.5,49.5,144.5,1309069.375
107,594.75,182.37,0.22472399999999998,65.5,17.25,147.0,70.5,63.75,67.0,54.5,174.75,1454209.875
108,644.5,199.56,0.203369,73.0,17.75,176.75,92.0,75.5,59.5,43.25,179.75,1516924.25
109,607.25,185.97,0.22063400000000002,64.0,20.5,144.5,90.5,61.75,59.5,57.25,173.25,1458824.375
110,569.5,186.44,0.20588800000000002,72.0,8.75,135.75,90.0,63.0,44.75,47.0,180.25,1359127.0
111,640.5,197.41,0.206535,69.0,22.5,162.25,113.5,84.75,65.25,49.0,143.25,1475035.125
112,536.75,184.97,0.197133,68.0,15.75,130.25,70.75,59.25,54.25,46.75,159.75,1266840.375
